id,query,query_type,difficulty,expected_sources,expected_pages,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,mrr,latency_ms,top1_source,top1_page,top1_bm25_score
Q001,What applications is ACO KerbDrain designed for?,application,easy,ACO-KerbDrain-E-600-Brochure.pdf,6,3,0,1,1,0.3333333333333333,1.94,ACO-KerbDrain-E-600-Brochure.pdf,3,16.3194
Q002,Which load class is the ACO KerbDrain E Class certified to?,technical_property,easy,ACO-KerbDrain-E-600-Brochure.pdf,8 | 10,1,1,1,1,1.0,2.563,ACO-KerbDrain-E-600-Brochure.pdf,8,32.1348
Q003,What is the water absorption of Vienite used in ACO KerbDrain?,numerical,medium,ACO-KerbDrain-E-600-Brochure.pdf,18,1,1,1,1,1.0,2.371,ACO-KerbDrain-E-600-Brochure.pdf,18,28.3647
Q004,Which aluminium window system is described as an ideal standard system for a variety of window applications?,semantic_paraphrase,easy,Aluminium-window-system.pdf,2,1,1,1,1,1.0,3.408,Aluminium-window-system.pdf,2,40.9624
Q005,What is the maximum sound reduction value listed for the Schüco AWS 65 window system?,numerical,medium,Aluminium-window-system.pdf,3,2,0,1,1,0.5,2.774,Aluminium-window-system.pdf,2,46.3718
Q006,What basic depth is listed for the Schüco AWS 65 aluminium window system?,numerical,easy,Aluminium-window-system.pdf,3,2,0,1,1,0.5,3.908,Aluminium-window-system.pdf,2,54.458
Q007,Why should pipework and ductwork be insulated?,application,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,7,2,0,1,1,0.5,3.371,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,3,21.6022
Q008,Which ISOVER product provides external thermal insulation for metal ductwork in roll form?,exact_keyword,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10,1,1,1,1,1.0,3.533,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10,33.2495
Q009,What is the declared thermal conductivity of ISOVER CLIMPIPE Section Alu2 at a mean temperature of 100 degrees Celsius?,numerical,medium,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,12,1,1,1,1,1.0,3.202,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,12,32.4207
Q010,Which cold-applied Bauder waterproofing approach is suitable where hot works would be a risk?,semantic_paraphrase,medium,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,3,1,1,1,1,1.0,5.841,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,3,28.7592
Q011,Which Bauder roof system is a moisture-cured single-component polyurethane liquid reinforced with glass fibre mat?,technical_property,medium,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,6,2,0,1,1,0.5,3.811,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,4,43.5266
Q012,Which Bauder roof system is a fast-curing PMMA resin system reinforced with polyester fleece?,exact_keyword,easy,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,8,1,1,1,1,1.0,3.853,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,8,48.2625
Q013,"What does NFC stand for in Pura NFC, and approximately how much natural fibre can the material contain?",technical_property,medium,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,2,1,1,1,1,1.0,3.574,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,2,34.4871
Q014,What properties help Pura NFC resist rough weather and physical damage?,semantic_paraphrase,medium,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,7,1,1,1,1,1.0,3.34,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,7,32.2032
Q015,Which Trespa siding product is engineered for use in a ventilated facade solution?,application,medium,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,21,1,1,1,1,1.0,4.395,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,21,19.1739
Q016,What roof pitch range is suitable for the VELUX GGL roof window?,numerical,easy,GGL_70_en-GB_GB.pdf,2,4,0,0,1,0.25,3.539,GGL_70_en-GB_GB.pdf,1,27.8859
Q017,What thermal transmittance is listed for the VELUX GGL roof window?,numerical,medium,GGL_70_en-GB_GB.pdf,6,4,0,0,1,0.25,2.556,GGL_70_en-GB_GB.pdf,1,24.2866
Q018,Which VELUX feature allows ventilation while the roof window remains closed?,technical_property,medium,GGL_70_en-GB_GB.pdf,1 | 7,1,1,1,1,1.0,3.284,GGL_70_en-GB_GB.pdf,1,32.8679
Q019,Which Mapei product ranges are presented as flexible cementitious products for waterproofing balconies and terraces?,exact_keyword,easy,cementitious-membranes-for-balconies-and-terraces.pdf,2,1,1,1,1,1.0,3.653,cementitious-membranes-for-balconies-and-terraces.pdf,2,36.1985
