id,query,method,query_type,difficulty,expected_sources,expected_pages,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,mrr,latency_ms,returned_count,top1_source,top1_page
Q001,What applications is ACO KerbDrain designed for?,rag,application,easy,ACO-KerbDrain-E-600-Brochure.pdf,6,4,0,0,1,0.25,24.089800004730932,5,ACO-KerbDrain-E-600-Brochure.pdf,7
Q001,What applications is ACO KerbDrain designed for?,bm25,application,easy,ACO-KerbDrain-E-600-Brochure.pdf,6,3,0,1,1,0.3333333333333333,2.8314000082900748,5,ACO-KerbDrain-E-600-Brochure.pdf,3
Q001,What applications is ACO KerbDrain designed for?,hybrid,application,easy,ACO-KerbDrain-E-600-Brochure.pdf,6,2,0,1,1,0.5,27.827000012621284,5,ACO-KerbDrain-E-600-Brochure.pdf,2
Q002,Which load class is the ACO KerbDrain E Class certified to?,rag,technical_property,easy,ACO-KerbDrain-E-600-Brochure.pdf,8 | 10,1,1,1,1,1.0,11.411700004828162,5,ACO-KerbDrain-E-600-Brochure.pdf,8
Q002,Which load class is the ACO KerbDrain E Class certified to?,bm25,technical_property,easy,ACO-KerbDrain-E-600-Brochure.pdf,8 | 10,1,1,1,1,1.0,1.8843999860109761,5,ACO-KerbDrain-E-600-Brochure.pdf,8
Q002,Which load class is the ACO KerbDrain E Class certified to?,hybrid,technical_property,easy,ACO-KerbDrain-E-600-Brochure.pdf,8 | 10,1,1,1,1,1.0,14.207299987901933,5,ACO-KerbDrain-E-600-Brochure.pdf,8
Q003,What is the water absorption of Vienite used in ACO KerbDrain?,rag,numerical,medium,ACO-KerbDrain-E-600-Brochure.pdf,18,2,0,1,1,0.5,11.267900001257658,5,ACO-KerbDrain-E-600-Brochure.pdf,6
Q003,What is the water absorption of Vienite used in ACO KerbDrain?,bm25,numerical,medium,ACO-KerbDrain-E-600-Brochure.pdf,18,1,1,1,1,1.0,1.750800001900643,5,ACO-KerbDrain-E-600-Brochure.pdf,18
Q003,What is the water absorption of Vienite used in ACO KerbDrain?,hybrid,numerical,medium,ACO-KerbDrain-E-600-Brochure.pdf,18,1,1,1,1,1.0,13.914300012402236,5,ACO-KerbDrain-E-600-Brochure.pdf,18
Q004,Which aluminium window system is described as an ideal standard system for a variety of window applications?,rag,semantic_paraphrase,easy,Aluminium-window-system.pdf,2,2,0,1,1,0.5,11.136199987959117,5,Aluminium-window-system.pdf,1
Q004,Which aluminium window system is described as an ideal standard system for a variety of window applications?,bm25,semantic_paraphrase,easy,Aluminium-window-system.pdf,2,1,1,1,1,1.0,2.380199992330745,5,Aluminium-window-system.pdf,2
Q004,Which aluminium window system is described as an ideal standard system for a variety of window applications?,hybrid,semantic_paraphrase,easy,Aluminium-window-system.pdf,2,1,1,1,1,1.0,14.326899981824681,5,Aluminium-window-system.pdf,2
Q005,What is the maximum sound reduction value listed for the Schüco AWS 65 window system?,rag,numerical,medium,Aluminium-window-system.pdf,3,1,1,1,1,1.0,11.649399995803833,5,Aluminium-window-system.pdf,3
Q005,What is the maximum sound reduction value listed for the Schüco AWS 65 window system?,bm25,numerical,medium,Aluminium-window-system.pdf,3,2,0,1,1,0.5,2.286699993419461,5,Aluminium-window-system.pdf,2
Q005,What is the maximum sound reduction value listed for the Schüco AWS 65 window system?,hybrid,numerical,medium,Aluminium-window-system.pdf,3,1,1,1,1,1.0,14.78869999118615,5,Aluminium-window-system.pdf,3
Q006,What basic depth is listed for the Schüco AWS 65 aluminium window system?,rag,numerical,easy,Aluminium-window-system.pdf,3,2,0,1,1,0.5,10.953300006804056,5,Aluminium-window-system.pdf,1
Q006,What basic depth is listed for the Schüco AWS 65 aluminium window system?,bm25,numerical,easy,Aluminium-window-system.pdf,3,2,0,1,1,0.5,2.0941999973729253,5,Aluminium-window-system.pdf,2
Q006,What basic depth is listed for the Schüco AWS 65 aluminium window system?,hybrid,numerical,easy,Aluminium-window-system.pdf,3,3,0,1,1,0.3333333333333333,13.869200003682636,5,Aluminium-window-system.pdf,1
Q007,Why should pipework and ductwork be insulated?,rag,application,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,7,1,1,1,1,1.0,10.699400008888915,5,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,7
Q007,Why should pipework and ductwork be insulated?,bm25,application,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,7,2,0,1,1,0.5,1.807699998607859,5,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,3
Q007,Why should pipework and ductwork be insulated?,hybrid,application,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,7,1,1,1,1,1.0,13.3988000015961,5,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,7
Q008,Which ISOVER product provides external thermal insulation for metal ductwork in roll form?,rag,exact_keyword,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10,4,0,0,1,0.25,12.676900005317293,5,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,6
Q008,Which ISOVER product provides external thermal insulation for metal ductwork in roll form?,bm25,exact_keyword,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10,1,1,1,1,1.0,2.6458000065758824,5,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10
Q008,Which ISOVER product provides external thermal insulation for metal ductwork in roll form?,hybrid,exact_keyword,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10,1,1,1,1,1.0,16.339200010406785,5,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10
Q009,What is the declared thermal conductivity of ISOVER CLIMPIPE Section Alu2 at a mean temperature of 100 degrees Celsius?,rag,numerical,medium,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,12,2,0,1,1,0.5,18.858700001146644,5,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10
