id,query,query_type,difficulty,expected_sources,expected_pages,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,mrr,latency_ms,top1_source,top1_page,top1_similarity
Q001,What applications is ACO KerbDrain designed for?,application,easy,ACO-KerbDrain-E-600-Brochure.pdf,6,4,0,0,1,0.25,2026.58,ACO-KerbDrain-E-600-Brochure.pdf,7,0.7122
Q002,Which load class is the ACO KerbDrain E Class certified to?,technical_property,easy,ACO-KerbDrain-E-600-Brochure.pdf,8 | 10,1,1,1,1,1.0,42.31,ACO-KerbDrain-E-600-Brochure.pdf,8,0.765
Q003,What is the water absorption of Vienite used in ACO KerbDrain?,numerical,medium,ACO-KerbDrain-E-600-Brochure.pdf,18,2,0,1,1,0.5,30.94,ACO-KerbDrain-E-600-Brochure.pdf,6,0.6346
Q004,Which aluminium window system is described as an ideal standard system for a variety of window applications?,semantic_paraphrase,easy,Aluminium-window-system.pdf,2,2,0,1,1,0.5,25.57,Aluminium-window-system.pdf,1,0.7367
Q005,What is the maximum sound reduction value listed for the Schüco AWS 65 window system?,numerical,medium,Aluminium-window-system.pdf,3,1,1,1,1,1.0,50.39,Aluminium-window-system.pdf,3,0.6005
Q006,What basic depth is listed for the Schüco AWS 65 aluminium window system?,numerical,easy,Aluminium-window-system.pdf,3,2,0,1,1,0.5,16.83,Aluminium-window-system.pdf,1,0.7217
Q007,Why should pipework and ductwork be insulated?,application,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,7,1,1,1,1,1.0,16.62,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,7,0.8003
Q008,Which ISOVER product provides external thermal insulation for metal ductwork in roll form?,exact_keyword,easy,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10,4,0,0,1,0.25,25.15,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,6,0.6666
Q009,What is the declared thermal conductivity of ISOVER CLIMPIPE Section Alu2 at a mean temperature of 100 degrees Celsius?,numerical,medium,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,12,2,0,1,1,0.5,36.42,BRC-PDF-Isover-Ireland-HVAC.pdf.pdf,10,0.6012
Q010,Which cold-applied Bauder waterproofing approach is suitable where hot works would be a risk?,semantic_paraphrase,medium,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,3,1,1,1,1,1.0,31.6,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,3,0.6209
Q011,Which Bauder roof system is a moisture-cured single-component polyurethane liquid reinforced with glass fibre mat?,technical_property,medium,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,6,2,0,1,1,0.5,25.56,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,4,0.736
Q012,Which Bauder roof system is a fast-curing PMMA resin system reinforced with polyester fleece?,exact_keyword,easy,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,8,1,1,1,1,1.0,22.98,Cold-Applied-Liquid-Systems-Bauder-Brochure.pdf,8,0.7433
Q013,"What does NFC stand for in Pura NFC, and approximately how much natural fibre can the material contain?",technical_property,medium,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,2,1,1,1,1,1.0,46.86,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,2,0.7813
Q014,What properties help Pura NFC resist rough weather and physical damage?,semantic_paraphrase,medium,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,7,2,0,1,1,0.5,22.83,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,11,0.7302
Q015,Which Trespa siding product is engineered for use in a ventilated facade solution?,application,medium,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,21,1,1,1,1,1.0,20.34,EN-GB1109_10-2023_PuraNFC_Brochure_LR.pdf,21,0.5052
Q016,What roof pitch range is suitable for the VELUX GGL roof window?,numerical,easy,GGL_70_en-GB_GB.pdf,2,2,0,1,1,0.5,26.3,GGL_70_en-GB_GB.pdf,1,0.593
Q017,What thermal transmittance is listed for the VELUX GGL roof window?,numerical,medium,GGL_70_en-GB_GB.pdf,6,,0,0,0,0.0,24.16,GGL_70_en-GB_GB.pdf,1,0.6208
Q018,Which VELUX feature allows ventilation while the roof window remains closed?,technical_property,medium,GGL_70_en-GB_GB.pdf,1 | 7,1,1,1,1,1.0,21.3,GGL_70_en-GB_GB.pdf,1,0.6722
Q019,Which Mapei product ranges are presented as flexible cementitious products for waterproofing balconies and terraces?,exact_keyword,easy,cementitious-membranes-for-balconies-and-terraces.pdf,2,1,1,1,1,1.0,28.12,cementitious-membranes-for-balconies-and-terraces.pdf,2,0.803
Q020,"Which two-component Mapei cementitious waterproofing mortar is intended for balconies, terraces, swimming pools and damp environments?",application,medium,cementitious-membranes-for-balconies-and-terraces.pdf,5,,0,0,0,0.0,25.71,cementitious-membranes-for-balconies-and-terraces.pdf,1,0.6569
Q021,What minimum final waterproofing thickness is recommended when applying the Mapelastic system over existing terrace or flat-roof flooring?,numerical,medium,cementitious-membranes-for-balconies-and-terraces.pdf,8,1,1,1,1,1.0,27.24,cementitious-membranes-for-balconies-and-terraces.pdf,8,0.5901
Q022,What is the thermal conductivity of fermacell fibre gypsum board?,numerical,easy,fer-090-00032_9172-GB Specification Guide.pdf,6,3,0,1,1,0.3333333333333333,29.68,fer-090-00032_9172-GB Specification Guide.pdf,11,0.7542
Q023,What materials are used to make fermacell fibre gypsum board?,technical_property,medium,fer-090-00032_9172-GB Specification Guide.pdf,6,,0,0,0,0.0,44.48,fer-090-00032_9172-GB Specification Guide.pdf,11,0.7229
Q024,Which fermacell board complies with the highest European building material class A1?,exact_keyword,medium,fer-090-00032_9172-GB Specification Guide.pdf,7,,0,0,0,0.0,33.34,fer-090-00032_9172-GB Specification Guide.pdf,11,0.6196
Q025,What lambda value is given for ROCKWOOL Thermal Cavity Slab 32?,numerical,easy,merchant-trade-application-guide.pdf,4,,0,0,0,0.0,37.81,merchant-trade-application-guide.pdf,26,0.5721
Q026,What U-value is shown for the 150 mm ROCKWOOL Cavity Slab 32 full-fill masonry cavity wall solution?,numerical,medium,merchant-trade-application-guide.pdf,28,2,0,1,1,0.5,37.46,merchant-trade-application-guide.pdf,26,0.7168
Q027,What airborne sound reduction is listed for the ROCKWOOL timber stud internal partition wall using 50 mm Sound Insulation Slab?,technical_property,hard,merchant-trade-application-guide.pdf,36,1,1,1,1,1.0,40.51,merchant-trade-application-guide.pdf,36,0.7639
Q028,What drawing code is used for sealing of well pumping in the Mapei technical waterproofing guide?,exact_keyword,medium,technical-design-guide-for-waterproofing.pdf,4 | 5,,0,0,0,0.0,23.49,technical-design-guide-for-waterproofing.pdf,3,0.6457
Q029,What drawing code is used for the front edge of a balcony with a ceramic sill in the Mapei technical waterproofing guide?,exact_keyword,medium,technical-design-guide-for-waterproofing.pdf,6,3,0,1,1,0.3333333333333333,27.22,technical-design-guide-for-waterproofing.pdf,38,0.746
Q030,What drawing code is used for a vertical drain when waterproofing over existing flooring in the repair section of the Mapei technical guide?,exact_keyword,hard,technical-design-guide-for-waterproofing.pdf,10,5,0,0,1,0.2,81.7,technical-design-guide-for-waterproofing.pdf,62,0.7797
